subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	date	creator_id	subject_source_version	object_source_version
CO_337:0000027	Pod seed number	skos:exactMatch	TO:0000445	fruit seed number	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000028	Pod size	skos:exactMatch	TO:0002626	fruit length	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000005	Pod yield	skos:exactMatch	TO:0000871	fruit yield trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000042	Root biomass	skos:exactMatch	TO:0000078	root dry weight	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000045	Root to Shoot Ratio	skos:exactMatch	TO:0000278	root to shoot ratio	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000009	Shelling ratio	skos:exactMatch	TO:0000905	seed yield trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000011	Seed weight	skos:exactMatch	TO:0000181	seed weight	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000068	Seed yield	skos:exactMatch	TO:0000905	seed yield trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000233	Collar rot incidence	skos:exactMatch	TO:0000439	fungal disease resistance	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000007	Rosette disease incidence	skos:exactMatch	TO:0000148 	viral disease resistance	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000006	General disease severity	skos:exactMatch	TO:0000439	fungal disease resistance	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000239	Early leaf spot severity	skos:exactMatch	TO:0002702	cercospora leaf spot resistance	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000008	Insect pest damage	skos:exactMatch	TO:0000261	insect damage resistance	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000242	Late leaf spot severity	skos:exactMatch	TO:0000439	fungal disease resistance	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
